,precision,recall,f1-score,support
anger,0.5267379679144385,0.5295698924731183,0.5281501340482574,744.0
disgust,0.35578583765112265,0.3301282051282051,0.342477140482128,624.0
fear,0.5338541666666666,0.5024509803921569,0.5176767676767676,408.0
joy,0.7044609665427509,0.7288461538461538,0.7164461247637051,1040.0
sadness,0.4664429530201342,0.5180124223602485,0.49087698646262506,805.0
surprise,0.4085714285714286,0.348780487804878,0.3763157894736842,410.0
accuracy,0.526668320516001,0.526668320516001,0.526668320516001,0.526668320516001
macro avg,0.4993088867277569,0.49296469033412676,0.4953238238178612,4031.0
weighted avg,0.5227874420547254,0.526668320516001,0.5240414225119696,4031.0
